serial_number,thumbprint,subject_cn,issuer_cn,Reason
dbc03ca7e6ae6db6,e059776cb5e640569a06c2548e87af5bd655f5d4815b8f6e9482835455930987,SPIDER DEVELOPMENTS PTY LTD,Go Daddy Secure Certificate Authority - G2,CobaltStrike
26f855a25890b749578f13e4b9459768,7c81ba35732d1998def02461217cfd723150151bc93375a3e27c2cec33915660,Boo’s Q & Sweets Corporation,Sectigo Public Code Signing CA R36,Quakbot
25ba18a267d6d8e08ebc6e2457d58d1e,e59824f73703461c2c170681872a28a9bc4731d4b49079aa3afba1d29f83d736,5Y TECHNOLOGY LIMITED,Sectigo Public Code Signing CA R36,BadNews
0a2787fbb4627c91611573e323584113,8badf05b1814d40fb7055283a69a0bc328943100fe12b629f1c14b9448163aac,exxon.com,GeoTrust RSA CA 2018,Malware
c81319d20c6f1f1aec3398522189d90c,18d8be8afa6613e2ef037598a6e08e0ef197d420f21aa4050f473fcabd16644a,"AMCERT,LLC",Sectigo Public Code Signing CA R36,RedLineStealer
77550ed697992b397e3f1ad8e2a662d1,0c439c7b60714158f62c45921caf30d17dae37ec6cbc2dfdd9d306e18ae6df63,"GRASS RAIN, s.r.o.",Sectigo Public Code Signing CA R36,ParallaxRAT
b1bbef3aba79ab2eae5b8015f26b34f8,247a10fc20386f4f54b7451aecc2d97ec77567c5031028cc7f1b98f9191bee80,"DIDZHITAL ART, OOO",COMODO RSA Code Signing CA,NW0rm
05d50a0e09bb9a836ffb90a3,2d072e0e80885a82d5e35806b052ca416994e0fe06da1cfdcebd509d967a1aae,Toliz Info Tech Solutions INC.,GlobalSign GCC R45 EV CodeSigning CA 2020,ParallaxRAT
623eae6a66d3a6ee80df9ccebe51181e,21c4e9af43068d041e6aec84341ae89cabb9917792c4bc372eced059555bb845,GAIN AI LTD,Sectigo Public Code Signing CA R36,Quakbot
0a392f03ded5d73cdeeda75052a57176,cf1d95b39cc695e90dc2ca8b1b50f33b71f9f21091df2b72ed97f0759b5ddde4,FLOWER COMPUTERS LTD,Sectigo Public Code Signing CA R36,Quakbot
e9268ed63a7d7e9dfd40a664ddfbaf18,0767b9ab857b8e24282b80a7368323689a842e6c8b5a00a4f965c03e375e8b0d,"Casta, s.r.o.",Sectigo Public Code Signing CA R36,Hive
da156922f4760e0c5f5bcf79812a27e1,6e19e012f55e0bb44e9036d4445ab945942965dcb81b9ed24ad6fc17933c4fce,DRINK AND BUBBLE LTD,Sectigo Public Code Signing CA R36,Quakbot
5226a724cfa0b4bc0164ecda3f02a3dc,92f005b9c46c7993205d9451823cf0410d1afbd7056a7dcdfa2b8b3da74ee1bf,VALENTE SP Z O O,Sectigo Public Code Signing CA R36,Quakbot
121070be1e782f206985543bc7bc58b6,a4534aff03258589a2622398d1904d3bfd264c37e8649a68136f8d552f8b738f,Prod Can Holdings Inc.,Sectigo Public Code Signing CA R36,Quakbot
15c21dab7f4e644e4b35c4858004d8a9,34a9cd401a5a86c5194954df3a497094c01b6603264aab5cf7d9b3c4a0074801,"P.REGO, s.r.o.",Sectigo Public Code Signing CA R36,Quakbot
